forex|Foundations|Reading a currency pair|A currency quote compares two units of money. The base currency comes first; the quote currency comes second. A higher EUR/USD price means one euro buys more dollars. A long position benefits from a rise in the base currency relative to the quote currency, before costs.|EUR/USD moving from 1.1000 to 1.1050 is a 0.0050 rise, or 50 pips when the pip size is 0.0001. It is not a 50% return.|Write down the base and quote currencies for EUR/USD and USD/JPY. Explain which currency strengthens when each pair rises.|Assuming a rising USD/JPY quote means the yen is stronger.
forex|Foundations|Pips, points and lots|A pip is a conventional price increment; a point can be a smaller platform increment. Many non-JPY FX pairs use a pip of 0.0001, while many JPY pairs use 0.01. Gold quote increments and contract sizes vary by broker. A lot measures contract quantity, not your risk budget.|With 10,000 units of EUR/USD and a 0.0001 pip, one pip is USD 1 before conversion and costs. For gold, check ounces per lot rather than applying the FX contract convention.|Read a demo symbol specification. Record contract size, minimum lot, lot increment and tick size.|Using an FX pip calculator for gold without changing its contract assumptions.
forex|Foundations|How orders reach the market|A market order prioritizes execution; its price can differ from the last quote. A limit order sets a price boundary but might never fill. A stop order becomes active at a trigger and its execution can be worse in a fast market. A stop-limit combines a trigger with a price limit, increasing the possibility of no fill.|A buy limit at 1.0900 is not filled merely because the mid-price touches that number; the executable ask and the venue rules matter.|Place each order type on a demo account and inspect its trigger, expiry and execution price.|Treating a stop-loss as a guaranteed exit price.
forex|Market mechanics|Leverage and margin|Margin is collateral supporting a position. Leverage compares the position's notional value with your account equity. Lower required margin does not reduce the effect of a price move on an unchanged position. Broker close-out rules, financing and legal protections differ across products and jurisdictions.|A USD 20,000 position on USD 1,000 equity has 20:1 effective leverage. A 1% adverse move in the position is about USD 200 before costs, or 20% of equity.|Calculate notional exposure and effective leverage for a demo position. Locate the broker's margin close-out rules.|Sizing a position from available margin instead of a defined loss budget.
forex|Market mechanics|Spread, commission and financing|Trading costs can enter at different moments. The spread separates bid and ask; commission may apply on entry and exit; financing may apply to positions held beyond a rollover time. A strategy with small average gains is especially sensitive to these costs. Compare like-for-like contract sizes and holding periods.|If gross expectancy is USD 4 per trade and average round-trip costs are USD 5, the estimated net expectancy is minus USD 1.|Build a sample trade record with spread, both commissions and overnight financing shown separately.|Comparing a low advertised spread with a different product's all-in cost.
forex|Market mechanics|Sessions and liquidity|FX activity shifts as major financial centres open and close. More activity can improve available liquidity, but news can still widen spreads. Gold products can have daily maintenance breaks. Weekend and holiday schedules depend on the instrument and venue, so a session clock is a planning aid rather than proof that an order will execute.|A London-New York overlap changes in UTC during the weeks when the US and UK change daylight saving time on different dates.|Use the session clock with a winter and summer date and compare the UTC times.|Assuming one fixed UTC opening time works all year.
forex|Chart foundations|Candles and context|Each candle summarizes open, high, low and close for one interval. Its body shows the open-to-close move; wicks show excursions beyond it. A candle pattern is a description of price behaviour, not a promise of the next candle. The same shape can have different meaning in a trend, range or illiquid session.|A long lower wick near a prior low records rejection within that candle. It does not show whether new buyers will persist after the close.|Describe five candles using only what their OHLC values establish, then separate observations from predictions.|Naming a pattern and treating its label as a complete trade plan.
forex|Chart foundations|Support, resistance and structure|Support and resistance identify areas where price previously changed behaviour. Treat them as zones with uncertainty, not precise barriers. Successive swing highs and lows help describe structure. A break on a short timeframe can coexist with a larger trend on a longer timeframe.|A range high at 2500 and repeated reactions between 2496 and 2503 suggest a zone. A single print at 2501 does not by itself establish acceptance above that zone.|Mark three swing points on a chart and define what would invalidate your description of the trend.|Moving a zone after every candle so the analysis can never be wrong.
forex|Chart foundations|Moving averages and trend|A moving average smooths a price series. A simple average weights its window equally; an exponential average places more weight on recent observations. Both lag price. Crossovers may describe changing momentum but can repeatedly reverse in a range. Choose settings before testing rather than changing them to fit each chart.|A 20-period average on a five-minute chart summarizes different activity from a 20-period average on a daily chart.|Compare the same average in one trending and one ranging period. Count whipsaws as well as successful signals.|Mistaking a lagging calculation for an independent forecast.
forex|Technical toolkit|RSI, MACD and volatility|RSI summarizes the balance of recent upward and downward changes. MACD compares moving averages. ATR measures the size of recent ranges, including gaps; it does not predict direction. Indicators often share the same underlying prices, so several agreeing indicators may not provide independent evidence.|An RSI reading above 70 can persist during a strong trend. Selling only because of that reading ignores the market environment.|Choose one momentum indicator and one volatility measure. Write down what each calculates and what it cannot tell you.|Counting three similar momentum indicators as three independent reasons to trade.
forex|Technical toolkit|Fibonacci and pivot levels|Fibonacci retracements mark fractions of a selected swing. Classical pivots use the previous period's high, low and close. Both create reference levels from chosen inputs; neither makes a level certain to hold. Different session boundaries or swing anchors produce different results.|For high 110, low 90 and close 100, the classical pivot is 100, first resistance is 110 and first support is 90.|Calculate the pivot manually, verify it with the tool, then change the session inputs and observe the difference.|Choosing swing endpoints only after seeing where price reversed.
